"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","11/08/2010","21:44:17","","Page /index.cfm [/Users/andyjarrett/Sites/wwwroot/Railo-ORM-and-Scripting/index.cfm] not found"
"ERROR","web-0","11/08/2010","22:16:55","","No matching Method/Function for STRUCTKEYEXIST(struct, string)"
"ERROR","web-0","11/08/2010","22:17:17","","java.lang.NullPointerException"
"ERROR","web-0","11/08/2010","22:26:09","","invalid component definition, can't find dbinfo"
"ERROR","web-0","11/08/2010","22:27:04","","No matching end tag found for tag [cfoutput]"
"ERROR","web-0","11/08/2010","22:32:58","","there is no table that match the following pattern [department]"
"ERROR","web-0","11/08/2010","22:35:16","","Can't cast Complex Object Type Query to String; Use Build-In-Function ""serialize(Query):String"" to create a String from Query"
"ERROR","web-0","11/08/2010","22:35:34","","Can't cast Complex Object Type Query to String; Use Build-In-Function ""serialize(Query):String"" to create a String from Query"
"ERROR","web-0","11/08/2010","22:41:46","","Page /index.cfm [/Users/andyjarrett/Sites/wwwroot/Railo-ORM-and-Scripting/index.cfm] not found"
"ERROR","web-0","11/08/2010","22:58:58","","invalid component definition, can't find department"
"ERROR","web-0","11/08/2010","22:59:13","","java.lang.NullPointerException"
"ERROR","web-0","11/08/2010","22:59:33","","component [model.department] has no  function with name [DETDEPTNAME]"
"ERROR","web-0","11/08/2010","23:00:02","","invalid component definition, can't find department"
"ERROR","web-0","11/08/2010","23:00:07","","java.lang.NullPointerException"
"ERROR","web-0","11/08/2010","23:00:19","","java.lang.NullPointerException"
"ERROR","web-0","11/08/2010","23:03:43","","variable [MODEL] doesn't exist"
"ERROR","web-0","11/08/2010","23:03:58","","invalid component definition, can't find department"
"ERROR","web-0","11/08/2010","23:06:53","","variable [MODEL] doesn't exist"
"ERROR","web-0","11/08/2010","23:07:08","","java.lang.NullPointerException"
"ERROR","web-0","11/08/2010","23:07:14","","java.lang.NullPointerException"
"ERROR","web-0","11/08/2010","23:08:13","","java.lang.NullPointerException"
"ERROR","web-0","11/08/2010","23:08:14","","java.lang.NullPointerException"
"ERROR","web-0","11/08/2010","23:09:25","","java.lang.NullPointerException"
"ERROR","web-0","11/08/2010","23:09:59","","java.lang.NullPointerException"
"ERROR","web-0","11/08/2010","23:10:37","","java.lang.NullPointerException"
"ERROR","web-0","11/08/2010","23:10:44","","java.lang.NullPointerException"
"ERROR","web-0","11/08/2010","23:10:52","","component [model.department] has no  function with name [SETDEPT]"
"ERROR","web-0","11/08/2010","23:10:58","","java.lang.NullPointerException"
"ERROR","web-0","11/08/2010","23:18:09","","java.lang.NullPointerException"
"ERROR","web-0","11/08/2010","23:18:10","","java.lang.NullPointerException"
"ERROR","web-0","11/08/2010","23:18:20","","java.lang.NullPointerException"
"ERROR","web-0","11/08/2010","23:18:25","","java.lang.NullPointerException"
"ERROR","web-0","11/08/2010","23:18:26","","java.lang.NullPointerException"
"ERROR","web-0","11/08/2010","23:18:40","","java.lang.NullPointerException"
